Rule: ('otc alterations permit', '2.0') ==> ('St',)	 , confidence: 0.752,lift: 1.081
Rule: ('8', '2.0') ==> ('St',)	 , confidence: 0.752,lift: 1.081
Rule: ('8', '2.0') ==> ('', 'St')	 , confidence: 0.752,lift: 1.081
Rule: ('', '8', '2.0') ==> ('St',)	 , confidence: 0.752,lift: 1.081
Rule: ('otc alterations permit', '2.0') ==> ('', 'St')	 , confidence: 0.752,lift: 1.081
Rule: ('', 'otc alterations permit', '2.0') ==> ('St',)	 , confidence: 0.752,lift: 1.081
Rule: ('8', '2.0') ==> ('otc alterations permit', 'St')	 , confidence: 0.752,lift: 1.202
Rule: ('otc alterations permit', '2.0') ==> ('8', 'St')	 , confidence: 0.752,lift: 1.202
Rule: ('8', '2.0', 'otc alterations permit') ==> ('St',)	 , confidence: 0.752,lift: 1.081
Rule: ('otc alterations permit', '2.0') ==> ('', '8', 'St')	 , confidence: 0.752,lift: 1.202
Rule: ('8', '2.0') ==> ('', 'otc alterations permit', 'St')	 , confidence: 0.752,lift: 1.202
Rule: ('', 'otc alterations permit', '2.0') ==> ('8', 'St')	 , confidence: 0.752,lift: 1.202
Rule: ('', '8', '2.0') ==> ('otc alterations permit', 'St')	 , confidence: 0.752,lift: 1.202
Rule: ('otc alterations permit', '2.0', '8') ==> ('', 'St')	 , confidence: 0.752,lift: 1.081
Rule: ('', 'otc alterations permit', '2.0', '8') ==> ('St',)	 , confidence: 0.752,lift: 1.081
Rule: ('8.0',) ==> ('8', 'St')	 , confidence: 0.754,lift: 1.205
Rule: ('8.0',) ==> ('otc alterations permit', 'St')	 , confidence: 0.754,lift: 1.205
Rule: ('8.0',) ==> ('otc alterations permit', 'St', '8')	 , confidence: 0.754,lift: 1.000
Rule: ('8.0',) ==> ('', '8', 'St')	 , confidence: 0.754,lift: 1.205
Rule: ('', '8.0') ==> ('8', 'St')	 , confidence: 0.754,lift: 1.205
Rule: ('8.0',) ==> ('', 'otc alterations permit', 'St')	 , confidence: 0.754,lift: 1.205
Rule: ('', '8.0') ==> ('otc alterations permit', 'St')	 , confidence: 0.754,lift: 1.205
